CodeSection,count,coverage_pct,norm_section,category_auto
19.2-306,288191,31.634473212492164,19.2-306,probation_violation
18.2-250,74111,39.76957265782879,18.2-250,drug
18.2-248,39723,44.129931515044404,18.2-248,drug
18.2-95,19172,46.23442513361646,18.2-95,property
18.2-308.2,16675,48.06482525304527,18.2-308.2,weapons
19.2-128,15711,49.78940793828341,19.2-128,failure_to_appear
18.2-57,15479,51.48852418707732,18.2-57,violent
18.2-374.1:1,14240,53.05163649296435,18.2-374.1:1,public_order
18.2-456(A)(6),12236,54.394771477152105,18.2-456,obstruction_justice
18.2-172,10436,55.540322040651894,18.2-172,fraud_financial
18.2-456,10368,56.678408303814585,18.2-456,obstruction_justice
18.2-57.2,9528,57.724288503989555,18.2-57.2,violent
18.2-91,9123,58.72571220950974,18.2-91,property
18.2-53.1,8957,59.708914240677586,18.2-53.1,violent
18.2-137,8828,60.677956055029455,18.2-137,property
18.2-178,8784,61.642168027986735,18.2-178,fraud_financial
18.2-96,8641,62.59068301641158,18.2-96,property
18.2-51,8480,63.521525176097114,18.2-51,violent
18.2-460,7544,64.3496234370249,18.2-460,obstruction_justice
18.2-308.4,7402,65.16213448254287,18.2-308.4,weapons
19.2-123,7186,65.95093539757828,19.2-123,procedural_other
46.2-817(B),6834,66.70109758145692,46.2-817,traffic
18.2-456(6),6459,67.4100963443589,18.2-456,obstruction_justice
B.46.2-301,6253,68.09648266800438,46.2-301,traffic
18.2-58,5914,68.74565725908697,18.2-58,violent
18.2-371.1,5809,69.38330609229607,18.2-371.1,
18.2-111,5577,69.99548848906096,18.2-111,property
A.18.2-266,5367,70.58461937007891,18.2-266,dui_traffic_criminal
C.46.2-862,5147,71.1496010441239,46.2-862,traffic
18.2-67.3,5130,71.7127166430846,18.2-67.3,sexual_offense
18.2-192,5099,72.27242939924457,18.2-192,fraud_financial
18.2-103,5037,72.82533646980306,18.2-103,property
18.2-248.1,4759,73.34772772427753,18.2-248.1,drug
16.1-253.2,4674,73.86078860333062,16.1-253.2,juvenile_family
18.2-51.6,4621,74.36803171888567,18.2-51.6,violent
18.2-308,4361,74.84673486256357,18.2-308,weapons
18.2-456(A)(5),4061,75.29250726946015,18.2-456,obstruction_justice
18.2-186.3,3914,75.72214361533386,18.2-186.3,fraud_financial
18.2-47,3763,76.13520482369432,18.2-47,violent
A.46.2-862,3611,76.53158112541891,46.2-862,traffic
