CodeSection,count,coverage_pct
19.2-306,288191,31.634473212492164
18.2-250,74111,39.76957265782879
18.2-248,39723,44.129931515044404
18.2-95,19172,46.23442513361646
18.2-308.2,16675,48.06482525304527
19.2-128,15711,49.78940793828341
18.2-57,15479,51.48852418707732
18.2-374.1:1,14240,53.05163649296435
18.2-456(A)(6),12236,54.394771477152105
18.2-172,10436,55.540322040651894
18.2-456,10368,56.678408303814585
18.2-57.2,9528,57.724288503989555
18.2-91,9123,58.72571220950974
18.2-53.1,8957,59.708914240677586
18.2-137,8828,60.677956055029455
18.2-178,8784,61.642168027986735
18.2-96,8641,62.59068301641158
18.2-51,8480,63.521525176097114
18.2-460,7544,64.3496234370249
18.2-308.4,7402,65.16213448254287
19.2-123,7186,65.95093539757828
46.2-817(B),6834,66.70109758145692
18.2-456(6),6459,67.4100963443589
B.46.2-301,6253,68.09648266800438
18.2-58,5914,68.74565725908697
18.2-371.1,5809,69.38330609229607
18.2-111,5577,69.99548848906096
A.18.2-266,5367,70.58461937007891
C.46.2-862,5147,71.1496010441239
18.2-67.3,5130,71.7127166430846
18.2-192,5099,72.27242939924457
18.2-103,5037,72.82533646980306
18.2-248.1,4759,73.34772772427753
16.1-253.2,4674,73.86078860333062
18.2-51.6,4621,74.36803171888567
18.2-308,4361,74.84673486256357
18.2-456(A)(5),4061,75.29250726946015
18.2-186.3,3914,75.72214361533386
18.2-47,3763,76.13520482369432
A.46.2-862,3611,76.53158112541891
18.2-472.1,3605,76.92729881240787
18.2-32,3550,77.31697919765358
19.2-152.4:1,3160,77.66384962508356
54.1-3466,3113,78.00556090375115
46.2-300,3084,78.34408887786319
18.2-456(5),3041,78.67789677970325
18.2-195,2960,79.00281338261235
18.2-308.2:2,2942,79.32575414131458
53.1-203,2906,79.64474321160303
18.2-67.1,2871,79.95989036260035
18.2-61,2854,80.27317143851337
18.2-374.3,2738,80.57371929620429
A.46.2-852,2723,80.87262061705614
18.2-266,2677,81.1664725582682
18.2-119,2631,81.45527511984044
C.18.2-266,2630,81.74396791229007
18.2-51.2,2536,82.02234240721491
18.2-370,2519,82.29885082705546
3.2-6570,2439,82.56657771708765
18.2-282,2401,82.83013338046088
18.2-371,2269,83.07919951965032
19.2-358,2268,83.32815588971715
19.2-82.1,2207,83.57041634330513
18.2-251,2148,83.80620041865943
C.46.2-894,2139,84.0409965719103
18.2-279,2091,84.27052380727616
18.2-168,2077,84.49851427492555
40.1-103,2010,84.71915021136044
18.2-370.1,2007,84.93945684042752
18.2-108.01,2006,85.159653700372
18.2-60.4,1984,85.3774356396192
19.2-303.3,1933,85.58961935361354
18.2-67.2,1920,85.80037606901405
18.2-104,1885,86.00729086512338
18.2-272,1860,86.21146143316761
18.2-56.1,1772,86.40597231842266
18.2-388,1768,86.60004412718729
18.2-268.3,1764,86.7936768594615
19.2-135,1747,86.98544351665143
18.2-108,1698,87.17183148683374
B.18.2-266,1620,87.3496574654529
18.2-374.1,1593,87.52451967776176
D.18.2-266,1586,87.69861350621238
18.2-154,1516,87.8650234960807
A.18.2-102,1475,88.02693295192222
18.2-474.1,1464,88.1876349474151
G.46.2-870,1402,88.34153125730651
18.2-60,1359,88.49070749492593
63.2-522,1328,88.6364808897446
46.2-817,1322,88.78159566982765
18.2-94,1308,88.92517368219424
A.46.2-1158,1241,89.06139716334633
18.2-250.1,1196,89.19268103398123
46.2-646,1113,89.31485406743995
18.2-147,1074,89.4327461051171
18.2-170,1062,89.549320913323
18.2-200.1,1059,89.66556641416109
18.2-258.1,1058,89.78170214587658
18.2-83,1038,89.89564249513997
46.2-301,1033,90.00903399879034
18.2-63,1012,90.12012035086602
D.46.2-894,1009,90.23087739557388
19.2-305,1003,90.34097582554612
A.46.2-707,991,90.44975702604711
18.2-280,988,90.55820891918029
46.2-862,983,90.66611196670044
18.2-258,962,90.77170986264589
A.46.2-853,958,90.87686868210093
63.2-502,934,90.97939304261347
18.2-146,929,91.08136855751299
G.46.2-878,918,91.18213661206384
18.2-415,918,91.28290466661471
18.2-48,912,91.38301410642994
46.2-894,911,91.48301377712258
18.2-164,834,91.57456122537467
18.2-193,824,91.66501098240072
19.2-305.2,800,91.75282628048426
18.2-286.1,754,91.835592198928
18.2-121,752,91.91813857912652
18.2-181,751,92.00057519020245
46.2-817(A),740,92.08180434092972
18.2-53,709,92.15963064885626
18.2-255.2,707,92.23723741853759
18.2-102,689,92.31286834401205
18.2-23,684,92.38795042387346
J.18.2-266,665,92.46094689040541
18.2-90,664,92.53383358781475
A.18.2-268.3,647,92.60485421013982
18.2-51.4,633,92.67433806474841
F.46.2-870,628,92.74327307374399
3.2-6503,622,92.81154946800395
18.2-256,620,92.8796063240187
46.2-830,610,92.9465654888074
18.2-89,610,93.0135246535961
18.2-427,607,93.08015451101697
18.2-308.1:4,606,93.14667459931526
46.2-833,605,93.21308491849094
18.2-248.01,598,93.27872685380838
46.2-852,591,93.3436004052676
46.2-391D2,590,93.4083641876042
18.2-422,589,93.47301820081822
18.2-108.1,582,93.536903830174
18.2-22,562,93.59859407707768
18.2-31,551,93.65907686363272
18.2-41,549,93.71934011194256
18.2-271.1,544,93.77905451463936
46.2-804,541,93.83843960996835
C.46.2-896,520,93.89551955372265
18.2-67.4,513,93.95183111361872
18.2-434,512,94.0080329043922
18.2-60.3,506,94.06357608043002
18.2-77,485,94.11681410489318
18.2-361.01,478,94.16928374549809
46.2-816,474,94.2213143096126
46.2-821,473,94.27323510460448
18.2-58.1,463,94.32405820837033
18.2-178.1,457,94.37422269740055
19.2-298.02,456,94.42427741730818
18.2-46.2,456,94.4743321372158
C.46.2-870,442,94.52285008940694
18.2-386.1,441,94.5712582724755
B.46.2-894,437,94.61922737905364
18.2-323.1,423,94.6656597179153
18.2-387,417,94.71143344204135
B.46.2-357,415,94.75698762792219
46.2-1158,407,94.80166366082219
C.46.2-878,392,94.84469315688312
18.2-248.03,383,94.88673473084063
46.2-613(1),364,94.92669069146864
18.2-98,363,94.96653688297404
18.2-33,355,95.00550492149861
18.2-461,353,95.04425342177798
18.2-308.1:3,352,95.08289215293473
46.2-722,350,95.12131134584628
18.2-357.1,350,95.15973053875783
18.2-250(A)(A),349,95.19803996254677
18.2-272A,345,95.23591030984531
18.2-36,344,95.27367088802123
18.2-92,344,95.31143146619715
46.2-869,342,95.34897250612786
18.2-366,333,95.38552562395513
18.2-456(A)(1),330,95.4217494344146
18.2-287.4,327,95.45764393750625
46.2-391,324,95.49320913323008
18.2-460(E),315,95.52778640685047
18.2-152.3,311,95.56192460398044
18.2-514,310,95.59595303198782
46.2-715,309,95.62987169087259
G.46.2-875,304,95.66324150414434
18.2-51.1,304,95.69661131741609
18.2-52,303,95.72987136156522
46.2-804(2),293,95.76203371448831
46.2-1094,288,95.7936472217984
A.46.2-870,274,95.823723961392
18.2-431.1,274,95.85380070098562
46.2-818.2(C),273,95.88376767145662
18.2-42,272,95.91362487280503
18.2-26,269,95.94315276678562
18.2-81,262,95.97191227690799
18.2-46.6,256,96.00001317229471
46.2-870,253,96.02778476031364
19.2-128(B),253,96.05555634833256
3.2-6571,252,96.08321816722886
46.2-600,250,96.11066044787998
18.2-308.7,249,96.13799295940848
32.1-314,246,96.16499616356917
18.2-308.2(A),244,96.19177982948464
21-1/46.2-862,239,96.21801464978711
G.46.2-874,239,96.24424947008956
54.1-1115,238,96.27037452126942
46.2-818.2A,236,96.29628003420406
F.46.2-878,233,96.3218562397709
18.2-246.3,233,96.34743244533772
18.2-173,232,96.37289888178195
18.2-117,232,96.39836531822617
46.2-1003,229,96.42350244730258
18.2-255,228,96.44852980725639
18.2-109,213,96.47191063037114
46.2-1052,213,96.49529145348588
18.2-300,210,96.51834296923282
18.2-290,209,96.54128471585713
18.2-57.02,208,96.56411669335886
A.46.2-104,205,96.58661936349277
18.2-369,205,96.60912203362668
46.2-868.1,202,96.63129539639277
18.2-19,201,96.65335899003625
46.2-391(D)(3),201,96.67542258367975
18.2-456(1),198,96.69715686995542
18.2-462,189,96.71790323412766
46.2-391(D)(1),188,96.73853982917728
18.2-472.1(B),187,96.75906665510432
60.2-632,187,96.77959348103134
18.2-429,180,96.79935192310015
18.2-479,177,96.81878105780113
18.2-197,171,96.83755157776649
18.2-57(C),169,96.85610255948663
B.46.2-104,166,96.87432423383896
18.2-152.7:1,166,96.8925459081913
18.2-204.2,164,96.91054804429842
A.46.2-878,161,96.92822087303774
E.18.2-266,161,96.94589370177705
46.2-105.2,161,96.96356653051636
18.2-97,160,96.98112959013308
46.2-328,159,96.99858288062718
4.1-305,159,97.01603617112129
46.2-1173,159,97.03348946161539
18.2-357,159,97.05094275210949
46.2-896,157,97.06817650435838
63.2-513,156,97.08530048748467
46.2-605,156,97.10242447061097
18.2-374.1:1(A),156,97.11954845373725
18.2-323.02,155,97.13656266774095
46.2-613,152,97.15324757437682
46.2-853,152,97.16993248101268
18.2-361,149,97.18628808028075
46.2-802,149,97.2026436795488
A.46.2-864,148,97.21888950969426
